group,trialNum,position,row,col,dist to center,quadrant,sprite image difference,reaction time,reaction time (no),correct position mentioned,late,manish continuous,psnr,psnr_bin,ssim,ssim_bin,psnr dog to alpha,psnr alpha to cat,ssim dog to alpha,,ssim alpha to cat,,manish dog to alpha,,manish alpha to cat,alpha_to_cat_similarity_group
1,1,"11,10",11,10,5.220153254,Bottom Right,h,did not see,did not see,incorrect,FALSE,0.7424,7.486701604,low,0.319743383,low,11.55579275,12.08806228,0.593751088,medium,0.661036,medium,0.472472,low,0.497795,low
1,2,"3,7",3,7,3.354101966,Top Left,l,did not see,did not see,incorrect,FALSE,0.138609,7.915379776,low,0.135603743,low,15.00597891,11.34854427,0.536714869,medium,0.567697923,medium,0.350456,low,0.343107,low
1,3,"10,8",10,8,4.031128874,Bottom Left,l,did not see,did not see,incorrect,FALSE,0.14553,9.794274695,medium,0.185166605,low,14.24197055,14.41046095,0.506931,medium,0.733222414,high,0.347868,low,0.354189,low
1,4,"8,8",8,8,2.061552813,Bottom Left,m,did not see,did not see,incorrect,FALSE,0.493819,7.823545292,low,0.214039562,low,10.49018996,13.59269788,0.461056536,medium,0.690899417,medium,0.416045,low,0.720582,high
1,5,"6,5",6,5,3.5,Bottom Left,h,did not see,did not see,incorrect,FALSE,0.758518,9.521109396,medium,0.375644685,low,10.9699314,19.57951928,0.61443564,medium,0.85735487,high,0.27523,low,0.468925,low
1,6,"9,7",9,7,3.354101966,Bottom Left,l,did not see,did not see,incorrect,FALSE,0.139933,10.0626,high,0.16400719,low,14.65662339,13.56802904,0.536818127,medium,0.669926803,medium,0.341348,low,0.279165,low
1,7,"2,3",2,3,6.800735254,Top Left,l,did not see,did not see,incorrect,FALSE,0.133655,10.56458774,high,0.430848026,medium,14.35243978,14.45106499,0.695856139,medium,0.813388525,high,0.375356,low,0.265063,low
1,8,"5,2",5,2,6.576473219,Top Left,m,did not see,did not see,incorrect,FALSE,0.502767,12.18970349,high,0.370590399,low,12.53660953,16.26785348,0.578909406,medium,0.817709103,high,0.508171,medium,0.842493,high
1,9,"4,15",4,15,6.800735254,Top Right,m,1.39,1.39,correct,FALSE,0.498275,7.867547353,low,0.335434947,low,11.27061811,13.98475212,0.633041731,medium,0.737636419,high,0.49275,low,0.860712,high
1,10,"4,4",4,4,4.924428901,Top Left,h,0.92,0.92,correct,FALSE,0.771979,7.208511187,low,0.285060423,low,9.166194,16.83160892,0.500389391,medium,0.766199896,high,0.752833,high,0.835335,high
1,11,"2,12",2,12,5.315072906,Top Right,l,8.29 late,8.29,correct,TRUE,0.147122,4.198022944,low,0.139917736,low,11.81424932,8.671105795,0.651215233,medium,0.324339742,low,0.463928,low,0.210546,low
1,12,"4,2",4,2,6.800735254,Top Left,l,0.99,0.99,correct,FALSE,0.132594,8.384166337,low,0.187199346,low,10.43115729,14.61057,0.474703557,medium,0.638381719,medium,0.659985,medium,0.502528,medium
1,13,"2,9",2,9,4.031128874,Top Right,l,1.4,1.4,correct,FALSE,0.141383,5.259092283,low,0.191067006,low,7.472157105,15.11903036,0.407429085,medium,0.794420219,high,0.422637,low,0.339625,low
1,14,"6,9",6,9,0.5,Bottom Right,m,1.88,1.88,correct,FALSE,0.504844,8.173941,low,0.293603408,low,11.09340575,13.34785152,0.511369419,medium,0.68037281,medium,0.357873,low,0.275719,low
1,15,"2,10",2,10,4.272001873,Top Right,h,0.98,0.98,correct,FALSE,0.742032,10.62671603,high,0.172589076,low,12.72105262,13.472514,0.479026913,medium,0.597659753,medium,0.409177,low,0.337879,low
1,16,"9,3",9,3,6.264982043,Bottom Left,m,did not see,did not see,incorrect,FALSE,0.500359,10.42570256,high,0.309994248,low,13.28985571,14.62567209,0.607134066,medium,0.71786737,high,0.629409,medium,0.703189,high
1,17,"6,3",6,3,5.5,Bottom Left,m,did not see,did not see,incorrect,FALSE,0.500691,7.751437064,low,0.24050262,low,10.94020342,12.67649773,0.495544829,medium,0.642383,medium,0.596495,medium,0.735515,high
1,18,"2,12",2,12,5.315072906,Top Right,l,7.06 late,7.06,correct,TRUE,0.147122,4.198022944,low,0.139917736,low,11.81424932,8.671105795,0.651215233,medium,0.324339742,low,0.463928,low,0.210546,low
1,19,"7,7",7,7,1.802775638,Bottom Left,m,1.4,1.4,correct,FALSE,0.502215,8.656773238,low,0.422748638,medium,12.36911757,15.11340049,0.665249717,medium,0.783442259,high,0.661167,medium,0.560356,medium
1,20,"8,6",8,6,3.201562119,Bottom Left,l,did not see,did not see,incorrect,FALSE,0.137514,6.58017712,low,0.175683828,low,11.78284776,11.33352803,0.549881338,medium,0.599510892,medium,0.261824,low,0.237724,low
1,21,"7,13",7,13,4.609772229,Bottom Right,m,did not see,did not see,incorrect,FALSE,0.500695,8.19808684,low,0.391253477,low,10.44949291,15.81823347,0.604299494,medium,0.829366988,high,0.453987,low,0.412429,low
1,22,"2,11",2,11,4.716990566,Top Right,m,0.96,0.96,correct,FALSE,0.507319,8.711511,medium,0.265492587,low,11.94884922,13.84177221,0.56425953,medium,0.697536209,medium,0.315344,low,0.50332,medium
1,23,"3,6",3,6,3.905124838,Top Left,m,0.79,0.79,correct,FALSE,0.503727,7.764464,low,0.226812087,low,8.927291831,16.85548215,0.434222,medium,0.769897502,high,0.430121,low,0.489793,low
1,24,"1,13",1,13,6.726812024,Top Right,m,did not see,did not see,incorrect,FALSE,0.49857,9.424437687,medium,0.102606722,low,10.59092374,17.55094477,0.402535668,medium,0.718065483,high,0.477183,low,0.378888,low
1,25,"8,3",8,3,5.852349955,Bottom Left,l,did not see,did not see,incorrect,FALSE,0.132426,8.622265,low,0.330608731,low,12.90807718,12.5445627,0.668523,medium,0.630429519,medium,0.154598,low,0.922716,high
1,26,"4,7",4,7,2.5,Top Left,m,0.78,0.78,correct,FALSE,0.501152,10.45108603,high,0.369602246,low,13.5879752,13.63761844,0.633729766,medium,0.711391657,high,0.578822,medium,0.878454,high
1,27,"8,2",8,2,6.800735254,Bottom Left,m,did not see,did not see,incorrect,FALSE,0.503689,10.48672742,high,0.323602818,low,13.37275327,14.35221457,0.604297192,medium,0.728889203,high,0.427817,low,0.494826,low
1,28,"6,5",6,5,3.5,Bottom Left,h,0.95,0.95,correct,FALSE,0.758518,9.521109396,medium,0.375644685,low,10.9699314,19.57951928,0.61443564,medium,0.85735487,high,0.27523,low,0.468925,low
